itemid,Stand Name,total
676120670554842b3d9c1954,Sachin Tendulkar Stand F Block L3,800
676120670554842b3d9c1957,Sachin Tendulkar Stand G Block L3,1200
676120670554842b3d9c195a,Sachin Tendulkar Stand N L2,800
676120670554842b3d9c195d,Sachin Tendulkar Stand O L2,800
676120680554842b3d9c1960,Sachin Tendulkar Stand P L2,1000
676120680554842b3d9c1963,Sachin Tendulkar Stand Q L1,1300
676120680554842b3d9c1966,Sachin Tendulkar Stand R Block L1,700
676120680554842b3d9c1969,Sachin Tendulkar Stand S Block L1,700
676120690554842b3d9c196c,Sachin Tendulkar Stand T Block L1,700
676120690554842b3d9c196f,Sachin Tendulkar Stand U Block L1,700
676120690554842b3d9c1972,Sachin Tendulkar Stand V Block L1,1000
6761206a0554842b3d9c1975,Dilip Vengsarkar Stand H Block L3,1300
6761206a0554842b3d9c1978,Dilip Vengsarkar Stand I Block L3,800
6761206b0554842b3d9c197b,Dilip Vengsarkar Stand J Block L3,800
6761206b0554842b3d9c197e,Dilip Vengsarkar Stand K Block L3,1000
6761206c0554842b3d9c1981,Dilip Vengsarkar Stand L L2,700
6761206c0554842b3d9c1984,Dilip Vengsarkar Stand M L2,800
6761206c0554842b3d9c1987,Dilip Vengsarkar Stand W Block L1,1000
6761206d0554842b3d9c198a,Dilip Vengsarkar Stand X Block L1,700
6761206d0554842b3d9c198d,Dilip Vengsarkar Stand Y Block L1,1000
6761206e0554842b3d9c1990,Vijay Merchant Pavilion A L2,800
6761206e0554842b3d9c1993,Vijay Merchant Pavilion B Block L2,500
6761206f0554842b3d9c1996,Vijay Merchant Pavilion C Block L2,500
6761206f0554842b3d9c1999,Vijay Merchant Pavilion D Block L2,500
676120700554842b3d9c199c,Vijay Merchant Pavilion E Block L2,500
676120700554842b3d9c199f,Vijay Merchant Pavilion F Block L1,200
676120700554842b3d9c19a2,Vijay Merchant Pavilion G Block L1,800
676120710554842b3d9c19a5,Vijay Merchant Pavilion H Block L1,800
676120710554842b3d9c19a8,Vijay Merchant Pavilion I Block L1,800
676120710554842b3d9c19ab,Vijay Merchant Pavilion J Block L1,800
676120720554842b3d9c19ae,Vijay Merchant Pavilion K Block L1,800
676120720554842b3d9c19b1,Vijay Merchant Pavilion L Block L1,800
676120720554842b3d9c19b4,Sachin Tendulkar Stand Box 1 L1,30
676120730554842b3d9c19b7,Sachin Tendulkar Stand Box 2 L1,30
676120730554842b3d9c19ba,Sachin Tendulkar Stand Box 3 L1,30
676120730554842b3d9c19bd,Sachin Tendulkar Stand Box 4 L1,30
676120740554842b3d9c19c0,Sachin Tendulkar Stand Box 5 L1,30
676120740554842b3d9c19c3,Sachin Tendulkar Stand Box 6 L1,30
676120740554842b3d9c19c6,Sachin Tendulkar Stand Box 7 L1,30
676120750554842b3d9c19c9,Sachin Tendulkar Stand Box 8 L1,30
676120750554842b3d9c19cc,Sachin Tendulkar Stand Box 9 L1,30
676120750554842b3d9c19cf,Dilip Vengsarkar Stand Box 10 - L1,30
676120760554842b3d9c19d2,Dilip Vengsarkar Stand Box 11- L1,30
676120760554842b3d9c19d5,Dilip Vengsarkar Stand Box 12 - L1,30
676120760554842b3d9c19d8,Dilip Vengsarkar Stand Box 13- L1,30
676120760554842b3d9c19db,Dilip Vengsarkar Stand Box 14 L1,30
676120770554842b3d9c19de,Sachin Tendulkar Stand Box 15 L2,40
676120770554842b3d9c19e1,Sachin Tendulkar Stand Box 16 L2,40
676120770554842b3d9c19e4,Sachin Tendulkar Stand Box 17 L2,40
676120780554842b3d9c19e7,Sachin Tendulkar Stand Box 18 L2,40
676120780554842b3d9c19ea,Sachin Tendulkar Stand Box 19 L2,40
676120780554842b3d9c19ed,Sachin Tendulkar Stand Box 20 L2,40
676120790554842b3d9c19f0,Sachin Tendulkar Stand Box 21 L2,40
676120790554842b3d9c19f3,Dilip Vengsarkar Stand Box 22 L2,40
676120790554842b3d9c19f6,Dilip Vengsarkar Stand Box 23 L2,40
676120790554842b3d9c19f9,Dilip Vengsarkar Stand Box 24 L2,40
6761207a0554842b3d9c19fc,Dilip Vengsarkar Stand Box 25 L2,40
6761207a0554842b3d9c19ff,Vithal Divecha Pavilion Box 26 L1,30
6761207a0554842b3d9c1a02,Vithal Divecha Pavilion Box 27 L1,30
6761207b0554842b3d9c1a05,Vithal Divecha Pavilion Box 28 L1,30
6761207b0554842b3d9c1a08,Vithal Divecha Pavilion Box 29 L2,30
6761207b0554842b3d9c1a0b,Vithal Divecha Pavilion Box 30 L2,30
6761207b0554842b3d9c1a0e,Vithal Divecha Pavilion Box 31 L2,30
6761207c0554842b3d9c1a11,MCA Pavilion Box 32 - L2,30
6761207c0554842b3d9c1a14,MCA Pavilion Box 33 - L2,30
6761207c0554842b3d9c1a17,MCA Pavilion Box 34 - L2,30
6761207d0554842b3d9c1a1a,MCA Pavilion Box 35 - L2,30
6761207d0554842b3d9c1a1d,MCA Pavilion Box 36 - L2,30
6761207d0554842b3d9c1a20,MCA Pavilion Box 37 - L2,30
6761207e0554842b3d9c1a23,MCA Pavilion Box 38 - L2,40
6761207e0554842b3d9c1a26,MCA Pavilion Box 39 - L2,40
6761207f0554842b3d9c1a29,MCA Pavilion Box 40 - L2,40
6761207f0554842b3d9c1a2c,MCA Pavilion Box 41 - L3,30
676120800554842b3d9c1a2f,MCA Pavilion Box 42 - L3,30
676120800554842b3d9c1a32,MCA Pavilion Box 43 - L3,30
676120800554842b3d9c1a35,MCA Pavilion Box 44 - L3,30
676120810554842b3d9c1a38,MCA Pavilion Box 45 - L3,30
676120810554842b3d9c1a3b,MCA Pavilion Box 46 - L3,30
676120820554842b3d9c1a3e,MCA Pavilion Box 47 - L3,30
676120820554842b3d9c1a41,MCA Pavilion Box 48 - L3,30
676120820554842b3d9c1a44,MCA Pavilion Box 49 L3,30
676120830554842b3d9c1a47,Garware Pavilion Box 50 - L1,30
676120830554842b3d9c1a4a,Garware Pavilion Box 51 - L1,30
676120830554842b3d9c1a4d,Garware Pavilion Box 52 - L1,30
676120840554842b3d9c1a50,Garware Pavilion Box 53 - L1,30
676120840554842b3d9c1a53,Garware Pavilion Box 54 - L1,30
676120840554842b3d9c1a56,Garware Pavilion Box 55 - L2,40
676120850554842b3d9c1a59,Garware Pavilion Box 56 - L2,40
676120850554842b3d9c1a5c,Garware Pavilion Box 57 - L2,40
676120850554842b3d9c1a5f,Garware Pavilion Box 59 - L1,80
676120860554842b3d9c1a62,North Stand Box 60 - L1,25
676120860554842b3d9c1a65,VIP BOX - L2,30
6762eed69b5ee1933d371e79,President Box Annex,100
